Entity,Code,Year,Deaths - Neoplasms - Sex: Both - Age: Under 5 (Rate),Deaths - Neoplasms - Sex: Both - Age: Age-standardized (Rate),Deaths - Neoplasms - Sex: Both - Age: All Ages (Rate),Deaths - Neoplasms - Sex: Both - Age: 70+ years (Rate),Deaths - Neoplasms - Sex: Both - Age: 5-14 years (Rate),Deaths - Neoplasms - Sex: Both - Age: 50-69 years (Rate),Deaths - Neoplasms - Sex: Both - Age: 15-49 years (Rate)
Cameroon,CMR,2018,6.78,122.5,48.85,974.17,4.62,272.69,20.32
Cameroon,CMR,2019,6.63,121.92,48.99,974.61,4.48,270.91,20.22
Canada,CAN,1990,4.55,167.58,197.85,1398.23,3.95,448.23,29.14
Canada,CAN,1991,4.35,166.55,198.95,1394.19,3.91,443.7,29.37
Canada,CAN,1992,4.23,165.46,200.02,1389.9,3.85,437.18,29.79
Canada,CAN,1993,4.18,165.41,202.48,1397.74,3.7,432.42,30.23
Canada,CAN,1994,4.11,164.02,203.15,1389.04,3.67,425.38,30.3
Canada,CAN,1995,4.03,163.26,204.94,1391.04,3.63,419.6,30.36
Canada,CAN,1996,3.98,161.36,205.59,1385.2,3.53,409.34,30.49
Canada,CAN,1997,3.93,159.43,206.41,1382.81,3.55,396.24,30.09
Canada,CAN,1998,3.84,158.14,208.22,1386.69,3.4,385.62,29.79
Canada,CAN,1999,3.81,156.14,208.98,1381.46,3.27,374.84,29.47
Canada,CAN,2000,3.75,154.26,210.03,1377.23,3.15,365.01,28.94
Canada,CAN,2001,3.73,151.69,210.14,1358.82,3.09,355.9,28.81
Canada,CAN,2002,3.64,149.62,210.95,1347.84,3,348.66,28.54
Canada,CAN,2003,3.64,149.57,214.63,1360.4,2.97,344.96,28.5
Canada,CAN,2004,3.6,148.47,216.68,1359,2.9,340.41,28.61
Canada,CAN,2005,3.53,147.47,219.06,1367.69,2.99,333.55,28.42
Canada,CAN,2006,3.45,146.1,220.72,1364.57,3.04,328.98,28.34
Canada,CAN,2007,3.43,146.17,224.86,1389.72,3.07,326,27.59
Canada,CAN,2008,3.38,145.14,227.22,1400.38,2.97,321.19,26.95
Canada,CAN,2009,3.31,143.06,227.77,1397.2,2.85,314.19,26.35
Canada,CAN,2010,3.25,139.96,226.74,1384.71,2.69,305.86,25.03
Canada,CAN,2011,3.17,138.16,227.87,1381.99,2.67,300.36,24
Canada,CAN,2012,3.16,137.27,230.61,1380.01,2.63,300,23.45
Canada,CAN,2013,3.28,135.93,232.67,1373.78,2.69,296.97,22.74
Canada,CAN,2014,3.31,135.47,236.07,1371.31,2.66,296.92,22.3
Canada,CAN,2015,3.38,133.31,236.43,1346.83,2.73,295.01,21.8
Canada,CAN,2016,3.41,132.06,238.23,1322.59,2.76,297.27,22.1
Canada,CAN,2017,3.3,130.91,240.69,1300.33,2.73,297.35,22.04
Canada,CAN,2018,3.22,133.01,249.59,1322.42,2.71,303.94,21.67
Canada,CAN,2019,3.14,133.28,254.85,1322.06,2.72,307.45,21.5
Cape Verde,CPV,1990,9.42,107.74,72.99,914.13,3.4,240.87,18.26
Cape Verde,CPV,1991,9.2,108.25,73.05,920.51,3.5,247.94,18.61
Cape Verde,CPV,1992,9.06,107.99,72.6,926.26,3.58,252.38,18.78
Cape Verde,CPV,1993,9.05,109.01,73.01,951.97,3.6,257.64,19.02
Cape Verde,CPV,1994,9.11,110.07,73.3,973.69,3.69,263.36,19.35
Cape Verde,CPV,1995,9.16,112.14,74.17,1000.27,3.83,271.71,19.87
Cape Verde,CPV,1996,9.55,117.87,77.58,1059.34,4.1,288.32,21.09
Cape Verde,CPV,1997,9.73,126.73,83,1154.31,4.33,311.07,22.58
Cape Verde,CPV,1998,9.6,130.06,84.58,1184.3,4.37,319.21,23.85
Cape Verde,CPV,1999,9.75,132.15,85.46,1198.81,4.4,325.96,24.7
Cape Verde,CPV,2000,9.27,132.57,85.33,1200.34,4.29,329.52,24.99
Cape Verde,CPV,2001,8.93,133.17,85.67,1202.77,4.24,327.36,25.01
Cape Verde,CPV,2002,8.65,133.54,86.05,1202.05,4.22,324.72,25.09
Cape Verde,CPV,2003,8.21,133.95,86.56,1202.87,4.16,320.86,25.24
Cape Verde,CPV,2004,7.78,134.54,87.26,1206.14,4.11,315.42,25.44
Cape Verde,CPV,2005,7.33,135.06,87.95,1209.24,4.05,307.26,25.64
Cape Verde,CPV,2006,7.61,126.3,83.02,1108.77,4.1,274.34,26.04
Cape Verde,CPV,2007,7.35,123.84,82.39,1079.26,4.03,259.67,26.37
Cape Verde,CPV,2008,6.87,124.28,83.69,1085.01,3.94,252.77,26.51
Cape Verde,CPV,2009,6.39,124.75,85.07,1094.33,3.87,246.66,26.75
Cape Verde,CPV,2010,6.56,125,86.42,1104.45,3.95,241.48,27.14
Cape Verde,CPV,2011,6.29,127.19,89.06,1144.7,3.74,243.51,27.29
Cape Verde,CPV,2012,6.73,129.43,91.75,1184.3,3.96,246.91,27.46
Cape Verde,CPV,2013,6.92,129.66,93.09,1202.64,3.98,247.36,27.66
Cape Verde,CPV,2014,7.51,130.89,95.25,1241.61,4.02,247.41,27.81
Cape Verde,CPV,2015,7.35,133.03,97.81,1289.69,3.98,249.98,27.74
Cape Verde,CPV,2016,7.16,137.97,102.57,1372.17,3.97,261.16,27.24
Cape Verde,CPV,2017,6.88,141.2,105.8,1416.97,3.92,270.08,27.22
Cape Verde,CPV,2018,6.65,172.13,127.65,1810.49,4.28,332.36,24.66
Cape Verde,CPV,2019,6.11,171.51,127.3,1798.76,4.21,337.55,24.97
Central African Republic,CAF,1990,12.22,134.3,60.35,792.47,4.33,390.47,28.24
Central African Republic,CAF,1991,12.14,135.55,60.29,800.43,4.51,394,28.55
Central African Republic,CAF,1992,12.01,133.65,58.58,794.95,4.43,388.63,27.53
Central African Republic,CAF,1993,11.99,134.53,58.51,796.33,4.51,391.75,28.05
Central African Republic,CAF,1994,11.98,134.89,58.19,796.89,4.39,393.51,28
Central African Republic,CAF,1995,12.05,134.84,57.54,798.38,4.14,393.65,27.61
Central African Republic,CAF,1996,12.19,136.35,57.74,804.54,4.2,398.2,28.34
Central African Republic,CAF,1997,12.2,135.29,56.51,802.39,4,395.25,27.81
Central African Republic,CAF,1998,12.11,135.14,55.88,800.29,4.04,395.2,28.12
Central African Republic,CAF,1999,12.14,134.64,55.33,796.12,4.08,393.16,28.24
Central African Republic,CAF,2000,12.11,132.6,54.04,789.91,3.89,385.9,27.45
Central African Republic,CAF,2001,12.06,131.61,53.24,786.13,3.86,381.93,27.28
Central African Republic,CAF,2002,12.06,131.41,52.89,786.84,3.94,379.2,27.53
Central African Republic,CAF,2003,12.05,130.68,52.29,783.93,3.92,375.3,27.42
Central African Republic,CAF,2004,11.98,129.85,51.74,781.52,3.86,371.1,27.24
Central African Republic,CAF,2005,12,128.62,51.25,775.21,3.85,365.88,27.04
Central African Republic,CAF,2006,12.8,128.04,51.21,772.16,4.11,361.17,27.02
Central African Republic,CAF,2007,13.05,126.9,50.76,765.92,4.13,355.63,26.63
Central African Republic,CAF,2008,13.05,125.21,49.89,760.31,4.02,347.89,25.89
Central African Republic,CAF,2009,13.06,124.59,49.65,756.98,4.1,344.63,25.77
Central African Republic,CAF,2010,12.85,125.25,50.05,758.21,4.3,345.39,26.34
Central African Republic,CAF,2011,12.37,125.45,50.24,759.23,4.33,344.66,26.63
Central African Republic,CAF,2012,12.26,124.57,50.45,756.35,4.23,341.25,26.51
Central African Republic,CAF,2013,12.12,124.03,51.44,750.97,4.25,339.26,27.19
Central African Republic,CAF,2014,11.78,122.32,51.52,740.9,4.12,334.65,27.06
Central African Republic,CAF,2015,11.26,120.49,51.07,732.57,4.03,328.68,26.77
Central African Republic,CAF,2016,10.66,119.18,50.78,725.57,4.03,324.88,26.53
Central African Republic,CAF,2017,10.39,118.12,50.62,721.47,4.09,321.1,26.29
Central African Republic,CAF,2018,9.91,117.51,50.45,721.1,4,318.89,26.04
Central African Republic,CAF,2019,9.38,116.64,50.13,717.29,3.88,316,25.72
Chad,TCD,1990,10.5,89.49,43.54,659.43,2.93,226.77,16.46
Chad,TCD,1991,10.38,88.95,42.62,662.58,2.75,223.98,15.96
Chad,TCD,1992,10.28,89.96,42.6,669.66,2.84,225.43,16.4
Chad,TCD,1993,10.19,91.03,42.61,675.67,2.96,227.5,16.82
Chad,TCD,1994,10.07,91.12,42.05,681.47,2.85,228.06,16.44
Chad,TCD,1995,10.03,91.59,41.59,688.05,2.83,228.93,16.14
Chad,TCD,1996,9.98,93.68,42.04,701.17,3,233.84,16.76
Chad,TCD,1997,9.89,94.83,41.98,709.33,3.1,236.71,17.05
Chad,TCD,1998,9.89,95.51,41.7,713.95,3.21,238.89,17.28
Chad,TCD,1999,9.85,96.13,41.48,718.56,3.3,243.64,17.49
Chad,TCD,2000,9.85,96.73,41.03,728.61,3.38,244.31,17.6
Chad,TCD,2001,9.77,98.06,40.97,738.7,3.42,245.53,17.64
Chad,TCD,2002,9.74,99.78,40.99,757.38,3.39,246.52,17.48
Chad,TCD,2003,9.58,101.54,41.15,767.81,3.52,248.72,17.81
Chad,TCD,2004,9.34,102.59,40.99,775.37,3.49,247.78,17.62
Chad,TCD,2005,9.12,103.11,40.56,783.92,3.53,246.57,17.58
Chad,TCD,2006,9.3,103.98,40.42,798.04,3.74,246.64,17.47
Chad,TCD,2007,9.55,105.28,40.59,808.69,4.06,249.66,17.68
Chad,TCD,2008,9.5,106.56,40.54,827.01,4.11,250.71,17.67
Chad,TCD,2009,9.51,107.36,40.49,841.69,4.12,250.44,17.54
Chad,TCD,2010,9.51,108.54,40.49,851.44,4.26,250.88,17.7
Chad,TCD,2011,9.37,109.31,40.34,860.65,4.16,253.13,17.65
Chad,TCD,2012,9.22,109.8,40.13,866.43,4.14,254.48,17.55
Chad,TCD,2013,9.33,109.68,39.79,867.66,4.29,252.98,17.39
Chad,TCD,2014,9.11,109.44,39.49,869.67,4.27,251.93,17.28
Chad,TCD,2015,9.17,109.19,39.1,872.69,4.46,247.76,17.08
Chad,TCD,2016,9.03,108.91,38.82,867.11,4.49,247.04,17.01
Chad,TCD,2017,8.9,108.93,38.63,867.02,4.54,246.52,16.96
Chad,TCD,2018,8.79,109.14,38.47,870.25,4.54,246.88,16.94
Chad,TCD,2019,8.68,108.5,38.11,868.43,4.56,245.1,16.81
Chile,CHL,1990,6.59,171.55,124.9,1420.03,5.97,397.32,30.33
Chile,CHL,1991,6.06,166.68,122.87,1409.52,5.62,381.67,28.97
Chile,CHL,1992,5.72,163.33,122.09,1407.8,5.31,370.09,27.98
Chile,CHL,1993,5.36,163.15,123.95,1415.74,5.24,370.04,28
Chile,CHL,1994,5.19,162.32,125.5,1406.49,5.14,370.65,28.32
Chile,CHL,1995,5.17,163.63,128.57,1425.88,5,373.28,28.34
Chile,CHL,1996,5.18,163.64,130.35,1442.35,5.03,367.82,27.93
Chile,CHL,1997,4.96,160.13,129.69,1424.44,5.02,356.36,27.2
Chile,CHL,1998,5.08,158.95,130.83,1432.06,4.82,346.57,26.76
Chile,CHL,1999,4.94,158.37,132.49,1438.95,4.58,338.57,26.57
Chile,CHL,2000,4.88,155.22,132.33,1405.46,4.55,330.53,26.24
Chile,CHL,2001,5.1,154.74,134.73,1389.63,4.61,331.64,26.46
Chile,CHL,2002,5,152.68,135.65,1376.87,4.53,324.51,25.98
Chile,CHL,2003,4.96,152.55,138.3,1383.69,4.44,321.39,25.93
Chile,CHL,2004,5.02,151.44,140.11,1388.55,4.44,314.33,25.76
Chile,CHL,2005,4.72,148.52,140.42,1373.48,4.27,306.28,25.22
Chile,CHL,2006,4.54,145.77,141,1349.86,4.25,301.05,25.02
Chile,CHL,2007,4.51,144.12,142.58,1336.45,4.31,297.13,25.09
Chile,CHL,2008,4.35,141.26,143.04,1311.2,4.32,292.48,24.63
Chile,CHL,2009,4.43,143.15,148.42,1335.59,4.24,295.04,25.18
Chile,CHL,2010,4.29,143.73,152.49,1358.54,4.02,291.79,25.11
Chile,CHL,2011,4.31,141.96,154.14,1348.47,4.15,287.33,24.43
Chile,CHL,2012,4.26,140.68,156.39,1343.58,4.28,282.66,24.17
Chile,CHL,2013,4.21,139.61,158.99,1332.78,4.32,280.77,24.25
Chile,CHL,2014,4.42,137.45,160.33,1314.53,4.31,276.23,23.86
Chile,CHL,2015,4.28,136.17,162.69,1301.43,4.31,274.43,24.02
Chile,CHL,2016,4.32,133.23,162.5,1277.92,4.42,268.66,23.52
Chile,CHL,2017,4.09,133.76,166.49,1292.62,4.21,270.95,23.18
Chile,CHL,2018,3.96,133.44,170.05,1293.81,4.11,272.05,23.11
Chile,CHL,2019,3.88,132.98,173.91,1292.36,4.08,273.21,23.12
China,CHN,1990,21.71,173.99,123.25,1168.69,8.31,457.49,39.6
China,CHN,1991,21.53,173.89,124.73,1175.38,8.32,456.87,40.13
China,CHN,1992,21.16,172.89,125.64,1176.54,8.3,453.39,40.58
China,CHN,1993,20.87,172.71,127.19,1182.8,8.23,452.49,41.14
China,CHN,1994,20.58,171.42,128.27,1178.09,8.62,443.94,43
China,CHN,1995,20.27,170.58,129.81,1177.95,8.91,436.8,44.61
China,CHN,1996,19.86,170.13,131.66,1185.93,8.94,431.07,45.26
China,CHN,1997,19.34,169.01,133.14,1188.53,8.85,424.34,45.43
China,CHN,1998,18.59,168.57,135.44,1192.77,8.75,419.5,46.26
China,CHN,1999,17.69,169.55,138.98,1212.13,8.54,417.01,46.36
China,CHN,2000,16.67,171.84,143.57,1249.19,8.2,419.35,46.49
China,CHN,2001,15.31,171.57,146.15,1269.75,7.77,412.92,45.26
China,CHN,2002,13.85,171.01,148.65,1282.68,6.94,412.53,42.68
China,CHN,2003,12.52,170.9,151.87,1303.55,6.26,410.48,40.33
China,CHN,2004,11.5,172.2,156.61,1332.16,5.97,407.42,39.44
China,CHN,2005,10.68,170.23,158.19,1334.46,5.69,394.92,38.14
China,CHN,2006,9.98,164.57,156.94,1293.95,5.44,380.03,36.93
China,CHN,2007,9.26,161.17,157.77,1271.13,5.28,371.44,36.58
China,CHN,2008,8.79,159.68,160.17,1266.44,5.47,366.64,37.03
China,CHN,2009,8.42,158.56,162.95,1272.47,5.8,361.91,37.68
China,CHN,2010,8.1,157.73,166.05,1279.01,5.74,359,38.23
China,CHN,2011,7.85,154.93,167.64,1259.19,5.55,357.5,37.94
China,CHN,2012,7.62,151.36,168.54,1229.93,5.33,354.39,37.32
China,CHN,2013,7.39,147.81,169.15,1209.81,5.2,344.49,36.9
China,CHN,2014,7.14,145.49,171.35,1202.45,5.01,336.91,36.62
China,CHN,2015,6.94,143.01,173.16,1186.34,4.8,330.19,35.98
China,CHN,2016,6.84,141.85,176.62,1178.76,4.69,326.13,35.79
China,CHN,2017,6.67,140.93,180.27,1175.52,4.56,321.32,35.72
China,CHN,2018,6.37,140.62,184.97,1176.45,4.43,319.42,35.75
China,CHN,2019,6.02,140.92,190.99,1176.11,4.35,319.14,35.85
Colombia,COL,1990,8.13,132.97,71.7,1070.8,7.1,305.39,24.67
Colombia,COL,1991,7.77,135.21,74,1096.44,7,309.7,25.27
Colombia,COL,1992,7.61,133.83,74.34,1092.56,6.96,305.58,25.02
Colombia,COL,1993,7.8,131.49,74.41,1074.15,7.21,299.3,25.07
Colombia,COL,1994,7.81,129.64,74.68,1059.54,7.27,295.21,25.07
Colombia,COL,1995,7.39,126.33,74.07,1033.05,6.69,287.82,24.78
Colombia,COL,1996,7.41,125.36,75.09,1025.08,6.73,284.04,25.1
Colombia,COL,1997,7.13,119.24,72.96,980.16,6.22,268.65,24.12
Colombia,COL,1998,6.93,115.58,72.35,954.38,5.96,259.79,23.53
Colombia,COL,1999,7.29,115.49,74.08,952.4,6.36,257.92,23.81
Colombia,COL,2000,7.24,113.87,74.7,946.93,6.11,251.74,23.43
Colombia,COL,2001,7.07,112.63,75.71,944.64,5.87,247.86,23.01
Colombia,COL,2002,7.21,119.9,82.68,1001.34,6.11,266.41,24.67
Colombia,COL,2003,7.42,113.24,80.24,943.86,6.19,248.42,24.37
Colombia,COL,2004,7.67,111,80.77,926.52,6.29,241.9,24.37
Colombia,COL,2005,7.82,105.69,79.09,882.77,6.38,227.69,23.86
Colombia,COL,2006,7.98,105.37,81.19,879.49,6.48,226.41,24.23
Colombia,COL,2007,8.1,102.09,80.95,855.73,6.47,217.33,23.69
Colombia,COL,2008,8.22,101.78,83.17,852.63,6.71,215.21,24.22
Colombia,COL,2009,8.19,103.75,87.3,868.8,6.89,220.64,24.9
Colombia,COL,2010,7.98,102.15,88.53,857.67,6.89,217.1,24.81
Colombia,COL,2011,7.8,97.86,87.42,827.43,6.86,207.08,23.87
Colombia,COL,2012,7.75,96.85,89.22,821.24,6.91,204.93,23.92
Colombia,COL,2013,7.66,95.41,90.58,812.44,6.95,202.18,23.59
Colombia,COL,2014,7.55,94.04,92.03,799.6,6.97,198.89,24.05
Colombia,COL,2015,7.39,94.53,95.2,806.62,6.89,201.16,24.17
Colombia,COL,2016,6.97,94.41,97.35,807.12,6.69,202.28,24.12
Colombia,COL,2017,6.78,93.83,98.61,805.07,6.61,201.96,23.88
Colombia,COL,2018,6.63,93.8,100.94,814,6.37,202.25,23.56
Colombia,COL,2019,6.5,93.52,103.52,815.96,6.21,202.25,23.35
Comoros,COM,1990,17.25,113.41,56.07,789.58,3.39,287.38,21.82
Comoros,COM,1991,17.14,112.67,56.14,784.44,3.61,285.86,21.88
Comoros,COM,1992,17.41,116.12,58.45,799.98,3.91,296.8,23.26
Comoros,COM,1993,17.13,116.93,59.26,805.43,4,298.4,23.71
Comoros,COM,1994,17,119.28,60.98,816.17,4.15,305.37,24.62
Comoros,COM,1995,16.61,120.62,62.07,824.71,4.23,308.61,24.85
Comoros,COM,1996,16.01,121.1,62.83,827.71,4.28,311.25,25.35
Comoros,COM,1997,15.18,120.68,62.95,829.23,4.23,309.14,24.93
Comoros,COM,1998,14.38,118.48,62.07,824.5,4.06,301.41,23.96
Comoros,COM,1999,13.85,117.4,61.87,822.36,3.85,299.21,23.59
Comoros,COM,2000,13.55,119.17,63.39,829.75,3.6,307.26,24.88
Comoros,COM,2001,13.17,118.14,63.36,825.63,3.04,304.14,24.84
Comoros,COM,2002,13.03,116.94,63.35,822.36,2.91,300.44,24.68
Comoros,COM,2003,12.76,114.28,62.44,813.43,2.92,292.69,23.63
Comoros,COM,2004,13.25,109.86,60.54,801.11,3.8,277.82,21.33
Comoros,COM,2005,13.53,111.44,62.42,805.98,4.06,281.12,22.89
Comoros,COM,2006,13.84,107.15,60.09,803.45,3.66,265.97,19.57
Comoros,COM,2007,15.09,111.98,64.47,812.68,4.43,279.23,23.37
Comoros,COM,2008,15.52,113.03,66.02,818.37,4.6,281.48,24.12
Comoros,COM,2009,14.7,109.02,63.75,814.19,4.05,269.61,21.07
Comoros,COM,2010,13.2,107.3,62.78,815.65,2.8,266.37,19.14
Comoros,COM,2011,13.51,108.7,64.68,822.63,3.33,268.64,20.36
Comoros,COM,2012,12.72,109.41,65.96,826.98,3.01,271.94,20.88
Comoros,COM,2013,11.75,109.82,67.27,826.99,3.26,272.5,21.74
Comoros,COM,2014,13.06,115.69,73.35,831.08,4.78,284.58,27.89
Comoros,COM,2015,12.49,115.51,74.25,828.86,4.75,281.62,28.1
Comoros,COM,2016,11.7,115.26,75.15,829.43,4.67,280.95,28.29
Comoros,COM,2017,11.61,115.2,76.31,828.79,4.72,278.86,28.29
Comoros,COM,2018,10.9,113.08,75.71,826.46,4.41,271.54,26.61
Comoros,COM,2019,10.17,112.36,76.21,828.15,4.18,269.22,26.1
Congo,COG,1990,9.76,154.23,67.8,977.72,3.49,423.02,29.17
Congo,COG,1991,9.66,151.98,66.38,969.77,3.4,416.05,28.34
Congo,COG,1992,9.64,150.41,65.42,964.41,3.38,411.13,27.84
Congo,COG,1993,9.6,150.35,65.15,966.05,3.34,411.55,27.77
Congo,COG,1994,9.67,153.87,66.96,975.66,3.69,421.99,29.86
Congo,COG,1995,9.64,154.97,67.09,983.88,3.63,425.8,29.75
Congo,COG,1996,9.7,156.63,67.72,992.58,3.64,430.29,30.51
Congo,COG,1997,9.55,156.35,67.79,985.36,4,429.26,31.67
Congo,COG,1998,9.33,151.09,64.84,967.73,3.51,413.2,29.2
Congo,COG,1999,9.02,148.52,63.76,950.91,3.64,403.96,29.31
Congo,COG,2000,8.65,143.82,61.35,931.61,3.54,390.67,28.48
Congo,COG,2001,8.22,137.97,58.5,907.62,3.24,370.2,26.32
Congo,COG,2002,7.94,134.11,56.81,893.06,3.24,353.56,25.43
Congo,COG,2003,7.58,134.25,57.24,891.12,3.42,351.8,26.19
Congo,COG,2004,7.17,133.77,57.18,892.03,3.42,347.5,26.41
Congo,COG,2005,7.21,133.31,57.22,891.97,3.69,341.13,26.91
Congo,COG,2006,6.88,132.94,57.26,896.93,3.7,337.81,27.01
Congo,COG,2007,6.61,132.63,57.45,896.04,3.74,335.87,27.32
Congo,COG,2008,6.49,132.63,57.69,902.53,3.76,333.93,27.44
Congo,COG,2009,6.35,132.03,57.69,904.55,3.81,329.78,27.48
Congo,COG,2010,6.02,131.81,57.71,910.96,3.68,324.68,27.53
Congo,COG,2011,5.85,131.45,57.74,919.51,3.37,321.62,27.24
Congo,COG,2012,5.72,132.6,58.78,931.84,3.57,322.52,27.78
Congo,COG,2013,5.42,133.18,59.49,942.63,3.49,322.5,28.02
Congo,COG,2014,5.31,133.39,60.12,949.22,3.42,321.34,28.2
Congo,COG,2015,5.03,133.26,60.44,958.12,3.3,316.42,28.11
Congo,COG,2016,4.68,132.35,60.76,955.53,3.21,312.91,28.04
Congo,COG,2017,4.41,132.31,61.55,961.63,3.14,311.61,28.16
Congo,COG,2018,4.23,132.89,62.76,968.29,3.02,311.7,28.41
Congo,COG,2019,4.06,133.08,63.86,972.57,2.94,311.38,28.51
Cook Islands,COK,1990,3.57,160.07,99.74,1344.97,2.51,350.94,28.86
Cook Islands,COK,1991,3.5,158.42,99.98,1341.42,2.44,343.18,27.89
Cook Islands,COK,1992,3.44,156.86,100.57,1337.07,2.37,334.1,26.65
Cook Islands,COK,1993,3.37,154.99,101.16,1328.08,2.29,325.78,25.4
Cook Islands,COK,1994,3.4,153.11,101.97,1318.65,2.25,320.04,24.5
Cook Islands,COK,1995,3.42,151.5,103.43,1310.64,2.22,317.98,24.36
Cook Islands,COK,1996,3.39,149.67,105.19,1301.54,2.2,317.91,24.61
Cook Islands,COK,1997,3.36,147.83,107.16,1292.24,2.2,319.34,25.31
Cook Islands,COK,1998,3.31,146.11,109.42,1284.65,2.2,320.41,26.07
Cook Islands,COK,1999,3.4,144.62,112.05,1279.09,2.22,318.5,26.58
Cook Islands,COK,2000,3.36,143.48,114.71,1273.86,2.21,310.08,26.42
Cook Islands,COK,2001,3.3,141.72,116.18,1263.43,2.2,298.43,25.66
Cook Islands,COK,2002,3.2,139.73,116.52,1244.11,2.17,286.52,25.03
Cook Islands,COK,2003,3.08,140.09,118.12,1246.63,2.14,280.76,24.98
Cook Islands,COK,2004,2.86,139.78,118.94,1243.75,2.08,277.04,25.24
Cook Islands,COK,2005,2.79,138.49,119.4,1233.13,2.04,276.05,25.81
Cook Islands,COK,2006,2.74,137.87,121.29,1232.46,2.01,279.46,26.58
Cook Islands,COK,2007,2.76,137.15,124.43,1232.65,2,283.83,27.54
Cook Islands,COK,2008,2.57,134.97,127.16,1213.46,1.93,284.34,28.54
Cook Islands,COK,2009,2.33,133.71,131.22,1195.42,1.85,284.32,29.58
Cook Islands,COK,2010,2.23,133.92,137.13,1185.46,1.82,285.4,30.39
Cook Islands,COK,2011,2.09,134.64,143.46,1176.37,1.77,283.95,31.14
Cook Islands,COK,2012,1.88,134.24,148.13,1159.08,1.71,277.52,31.51
Cook Islands,COK,2013,1.65,133.59,152.09,1143.72,1.63,271.76,32.08
Cook Islands,COK,2014,1.54,133.11,155.82,1143.35,1.6,268.47,32.18
Cook Islands,COK,2015,1.58,133.42,160.67,1158.51,1.62,271.64,32.3
Cook Islands,COK,2016,1.58,133.71,165.48,1179.46,1.63,276.91,32.34
Cook Islands,COK,2017,1.54,133.59,169.85,1203.2,1.62,281.63,32.27
Cook Islands,COK,2018,1.48,133.37,174.01,1224.06,1.6,285.42,32.06
Cook Islands,COK,2019,1.4,133.06,177.73,1232.12,1.56,286.6,31.64
Costa Rica,CRI,1990,6.24,132.95,77.15,1144.99,5.4,293.54,23.87
Costa Rica,CRI,1991,5.99,132.73,77.78,1155.56,5.12,289.61,24.16
Costa Rica,CRI,1992,5.93,132.95,78.79,1171.45,5.26,287.6,24.24
Costa Rica,CRI,1993,5.67,130.84,78.36,1156.11,4.94,284.49,23.8
Costa Rica,CRI,1994,5.54,134.87,81.65,1190.65,4.92,295.08,24.66
Costa Rica,CRI,1995,5.39,138.47,84.83,1233.13,5.1,300.37,25.7
Costa Rica,CRI,1996,5.1,132.51,82.2,1198.06,5.02,278.35,24.87
Costa Rica,CRI,1997,5.38,131.35,82.67,1188.2,5.11,273.31,24.83
Costa Rica,CRI,1998,5.18,131.14,83.79,1191.55,4.96,268.84,25.01
Costa Rica,CRI,1999,5.04,132.6,86.01,1210.88,4.74,267.79,25.4
Costa Rica,CRI,2000,4.82,127.86,84.2,1178.3,4.38,253.02,23.96
Costa Rica,CRI,2001,5.07,128.13,86.18,1182.44,4.53,251.64,24.23
Costa Rica,CRI,2002,4.95,122.43,84.41,1123.45,4.58,241,23.99
Costa Rica,CRI,2003,4.64,123.97,87.37,1146.27,4.45,242.36,24.23
Costa Rica,CRI,2004,4.5,124.92,90.06,1157.19,4.58,243.65,24.45
Costa Rica,CRI,2005,4.36,117.46,86.96,1083.75,4.66,230.92,23.26
Costa Rica,CRI,2006,4.4,121.79,92.74,1118.37,4.58,242.5,24.65
Costa Rica,CRI,2007,4.51,110.43,86.29,1033.23,4.18,214.26,22.15
Costa Rica,CRI,2008,4.39,112.7,90.67,1050.44,4.3,221.48,22.72
Costa Rica,CRI,2009,4.27,112.28,93.01,1045.05,4.38,221.92,23
Costa Rica,CRI,2010,4.48,122.8,104.53,1148.36,4.84,242.41,24.95
Costa Rica,CRI,2011,4.32,117.3,102.59,1106.84,4.82,230.12,23.94
Costa Rica,CRI,2012,4.18,115.8,104.12,1096.75,4.89,226.42,24.1
Costa Rica,CRI,2013,4.06,115.76,106.89,1100.05,4.77,225.81,24.49
Costa Rica,CRI,2014,3.93,114.26,108.38,1090.92,4.46,223.94,24.15
Costa Rica,CRI,2015,3.82,115.92,113.09,1102.44,4.47,231.05,24.93
Costa Rica,CRI,2016,3.88,119.21,119.41,1120.73,4.8,239.12,26.38
Costa Rica,CRI,2017,3.76,119.21,122.38,1117.61,4.78,239.43,26.94
Costa Rica,CRI,2018,3.68,119.5,125.78,1122.32,4.49,243.11,26.35
Costa Rica,CRI,2019,3.58,118.76,128.24,1115.67,4.39,243.57,26.22
Cote d'Ivoire,CIV,1990,9.74,110.62,36.86,830.35,3.57,255.78,18.13
Cote d'Ivoire,CIV,1991,9.63,111.32,37.21,831.08,3.57,259.6,18.22
Cote d'Ivoire,CIV,1992,9.55,112.54,37.7,838.76,3.55,264.38,18.21
Cote d'Ivoire,CIV,1993,9.48,114.11,38.49,845.85,3.67,270.17,18.6
Cote d'Ivoire,CIV,1994,9.4,115.24,39.14,853.08,3.72,274.69,18.85
Cote d'Ivoire,CIV,1995,9.24,116.3,39.75,860.79,3.72,278.85,19.04
Cote d'Ivoire,CIV,1996,9.03,116.46,39.96,863.44,3.73,279.7,19.11
Cote d'Ivoire,CIV,1997,8.86,115.98,39.93,863.08,3.73,278.31,19.06
Cote d'Ivoire,CIV,1998,8.71,116.1,40.15,865.07,3.79,278.37,19.29
